house_price,listing_price,price_development,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
7200000,7295000,-95000,5,135,8,186,2018,30750,2024-12-20,Sjöstad,55.5908031,12.9338728,0,12,2024
4900000,4895000,5000,6,158,0,849,1986,42017,2024-12-20,Käglinge,55.6361208,13.0801035525588,1,12,2024
12100000,10950000,1150000,7,178,70,721,1955,61037,2024-12-19,Rosenvång,55.58168945,12.9468854476481,0,12,2024
6800000,6495000,305000,5,167,145,1027,1930,69336,2024-12-19,Husie,55.5972867,13.081095249708,0,12,2024
5775000,5995000,-220000,4,97,0,486,2020,34002,2024-12-19,Bunkeflostrand,57.6656344,12.1072292924045,1,12,2024
5000000,5295000,-295000,4,132,91,1003,1940,48684,2024-12-18,Husie,55.59184675,13.0832691690534,0,12,2024
6995000,7495000,-500000,6,150,15,589,1962,28500,2024-12-18,Djupadal,55.5712517,12.9490143698361,0,12,2024
8550000,8900000,-350000,7,182,0,456,2010,42370,2024-12-11,Vintrie,55.5540461,12.9595115,1,12,2024
3895000,3895000,0,6,118,37,443,1913,41109,2024-12-11,Rosengård,55.5822901,13.0344208,0,12,2024
5075000,5295000,-220000,5,160,20,840,1962,32470,2024-12-10,Käglinge,55.53347255,13.0778618065107,0,12,2024
5900000,6200000,-300000,6,121,200,965,1971,39037,2024-12-10,Tygelsjö,55.5169132,13.0044825,0,12,2024
5900000,5695000,205000,6,100,27,487,1909,28367,2024-12-09,Sibbarp,55.5686005,12.9188947,0,12,2024
12500000,12895000,-395000,6,243,119,892,1943,77602,2024-12-08,Sjösida,55.5921541,12.950877361814,0,12,2024
3700000,3100000,600000,4,92,57,481,1927,56685,2024-12-07,Eriksfält,55.576255,13.0085794056732,0,12,2024
8750000,8895000,-145000,7,133,49,655,1937,35464,2024-12-06,Rosenvång,55.5830851,12.9552456,0,12,2024
4400000,4750000,-350000,3,68,0,525,1916,30183,2024-12-06,Limhamn,57.67685305,11.988430810443,1,12,2024
4700000,3000000,1700000,4,100,0,1495,1924,63551,2024-12-06,Klagshamn,55.53556105,12.9253851743903,1,12,2024
6025000,6195000,-170000,7,198,0,1001,1975,53740,2024-12-05,Husie,55.59663035,13.0845947260589,1,12,2024
4750000,3995000,755000,4,115,13,363,1970,38180,2024-12-04,Bunkeflostrand,59.27517945,17.97477665,0,12,2024
7045000,6995000,50000,3,75,0,59,2021,18700,2024-12-03,City,55.6051324,12.9974189,1,12,2024
