house_price,number_of_rooms,living_area,secondary_area,plot_area,year_built,operating_cost,sale_date,neighborhood,latitude,longitude,secondary_area_missing,month,year
5895000,8,185,115,665,1977,39196,2023-09-07,Virentofta,55.5904628,13.0752389,0,9,2023
6850000,6,158,0,523,2000,30721,2023-09-07,Bunkeflostrand,55.5547347,12.926972,1,9,2023
7350000,6,170,21,550,2005,27900,2023-09-07,Klagshamn,55.52413475,12.9383375,0,9,2023
6090000,6,180,1,178,1980,33381,2023-08-25,Sofielund,61.7999626,16.5615513,0,8,2023
5750000,5,136,28,958,2004,37444,2023-08-18,Käglinge,55.5302848,13.0933508017858,0,8,2023
4500000,3,97,60,800,1923,37500,2023-08-17,Valdemarsro,55.61165995,13.07271465,0,8,2023
6350000,4,118,102,527,1925,49655,2023-08-08,Håkanstorp,55.59781085,13.047434653453,0,8,2023
6600000,6,155,0,398,2007,55100,2023-08-07,Tygelsjö,57.81286995,12.3579458177558,1,8,2023
6300000,5,135,44,730,1963,41958,2023-07-22,Riseberga,55.598719,13.076710132846,0,7,2023
2850000,4,100,0,340,1969,66397,2023-07-20,Kyrkby,55.54480125,13.0993711912332,1,7,2023
5400000,6,157,0,510,1975,45380,2023-07-12,Klagstorp,55.520547,13.0022728,1,7,2023
3330000,3,91,91,800,1943,52914,2023-07-03,Kattarp,55.5788934,13.0453149218347,0,7,2023
3995000,3,85,70,1019,1930,30700,2023-06-30,Husie,55.584797,13.0650530703431,0,6,2023
4400000,5,130,91,595,1966,39173,2023-06-27,Videdal,55.58574325,13.0720712825832,0,6,2023
5350000,4,109,24,620,1963,57467,2023-06-27,Djupadal,55.5744766,12.9500551492987,0,6,2023
5000000,5,101,1,385,1966,46132,2023-06-27,Bunkeflostrand,59.7971436,17.6461721512677,0,6,2023
7050000,7,182,44,843,1916,58400,2023-06-21,Klagshamn,55.5231303,12.9316767608209,0,6,2023
3975000,6,94,94,894,1961,35395,2023-06-20,Gullvik,55.56945275,13.0349353,0,6,2023
6600000,7,150,5,874,1870,52990,2023-06-20,Kulladal,55.5692143,12.9925858,0,6,2023
9400000,6,290,0,1218,1980,81508,2023-06-20,Bunkeflostrand,55.56178265,12.9086965035826,1,6,2023
6850000,5,133,0,552,2007,43771,2023-06-15,Bunkeflostrand,55.5510224,12.9297046,1,6,2023
5550000,4,124,20,363,1966,35040,2023-06-15,Bunkeflostrand,55.5548085,12.9161753,0,6,2023
5200000,6,176,11,765,1978,35619,2023-06-13,Kulladal,56.0488647,12.7352366858033,0,6,2023
5900000,4,126,11,665,1800,52600,2023-06-09,Tygelsjö,55.5169132,13.0044825,0,6,2023
6445000,6,145,0,658,1992,25172,2023-06-09,Kvarnby,55.5877567,13.1061210443503,1,6,2023
11600000,8,238,9,906,1920,63000,2023-05-31,Bellevue,55.587064,12.9560576239027,0,5,2023
3995000,5,125,93,600,1935,42050,2023-05-19,Kattarp,57.6732272,11.8975296,0,5,2023
6900000,5,115,79,768,1923,66902,2023-05-14,Rostorp,57.7305762,11.9171877,0,5,2023
3500000,7,105,0,735,1935,39400,2023-05-05,Videdal,57.69332645,12.0057408817944,1,5,2023
4800000,4,121,0,539,2007,30300,2023-05-02,Kristineberg,57.76056785,12.0500046487939,1,5,2023
4000000,4,123,0,719,1976,39700,2023-04-30,Husie,55.59065165,13.0580019451445,1,4,2023
5150000,7,182,16,808,1910,41000,2023-04-27,Husie,55.5863159,13.0859913,0,4,2023
7150000,6,162,0,570,2007,39975,2023-04-18,Bunkeflostrand,55.5510224,12.9297046,1,4,2023
6350000,6,134,105,861,1962,41150,2023-04-14,Djupadal,55.5732513,12.9508380061834,0,4,2023
5230000,4,122,0,189,1989,43400,2023-03-25,Kirseberg,56.6725076,12.8710726974536,1,3,2023
5500000,7,171,22,618,2013,35516,2023-03-24,Käglinge,55.528949,13.07662835,0,3,2023
3340000,3,57,0,585,1946,22956,2023-03-17,Strandhem,55.5392871,12.9171488,1,3,2023
5400000,5,206,23,1234,1900,52100,2023-02-27,Husie,55.8959404,12.8788298,0,2,2023
5500000,6,151,10,511,2005,41500,2023-02-22,Oxie,55.54168785,13.0738521941157,0,2,2023
6350000,6,153,9,755,1928,66400,2023-02-18,Klagshamn,55.5583233,12.9190044,0,2,2023
5250000,4,124,0,613,2006,47270,2023-02-16,Kristineberg,55.53892625,13.0771611030744,1,2,2023
3850000,4,135,0,277,1987,38929,2023-01-21,Bulltofta,55.60864355,13.0577072,1,1,2023
