slutpris,utgangspris,prisutv,antal_rum,boarea,biarea,tomtarea,byggar,driftkostnad,sälj_datum,område,latitude,longitude
4400000,4750000,-350000,3,68,NA,525,1916,30183,6 december 2024,Limhamn,57.67685305,11.988430810443
4700000,3000000,1700000,4,100,NA,1495,1924,63551,6 december 2024,Klagshamn,55.53556105,12.9253851743903
6025000,6195000,-170000,7,198,NA,1001,1975,53740,5 december 2024,Husie,55.59663035,13.0845947260589
4750000,3995000,755000,4,115,13,363,1970,38180,4 december 2024,Bunkeflostrand,59.27517945,17.97477665
7045000,6995000,50000,3,75,NA,59,2021,18700,3 december 2024,City,55.6051324,12.9974189
6450000,6595000,-145000,4,105,65,840,1962,30199,3 december 2024,Sibbarp,55.7996202,12.9710498464661
4850000,4995000,-145000,4,112,NA,425,2011,31458,2 december 2024,Tygelsjö,55.5174699,12.98566
3387500,3395000,-7500,5,127,21,424,1976,66028,28 november 2024,Kyrkby,55.54965965,13.0941191
3520000,3495000,25000,5,115,115,628,1966,30643,28 november 2024,Kyrkby,55.5440813,13.0965045
8050000,7750000,300000,7,148,118,819,1944,41050,28 november 2024,Djupadal,55.57890885,12.9548780281177
5895000,5995000,-100000,5,146,30,345,2004,39000,28 november 2024,Kvarnby,55.5868687,13.1003170425624
3000000,3495000,-495000,6,122,94,1225,1957,31351,26 november 2024,Käglinge,55.53038755,13.07687645
9850000,10195000,-345000,12,289,137,726,1950,18640,26 november 2024,Rosenvång,55.5794643,12.9581168438531
6100000,4500000,1600000,7,147,21,814,NA,NA,26 november 2024,Rosenvång,55.580456,12.9523661225841
5700000,5595000,105000,6,158,33,671,1986,38473,25 november 2024,Husie,55.58749635,13.0915006818925
5450000,5695000,-245000,4,134,164,813,1967,41292,24 november 2024,Käglinge,63.8120037,20.2607898928514
2800000,3295000,-495000,6,131,NA,316,1979,31950,23 november 2024,Kyrkby,55.5493782,13.09776455
9800000,9995000,-195000,9,248,20,762,2012,26902,23 november 2024,Bunkeflostrand,55.402194,12.9868812
5550000,5695000,-145000,NA,135,NA,361,1968,21007,22 november 2024,Bunkeflostrand,59.4786933,18.3407659
6800000,7450000,-650000,6,154,94,474,2009,30207,22 november 2024,HUSIE,55.94507015,12.8037160578736
6495000,6495000,0,6,153,9,755,1928,NA,21 november 2024,Klagshamn,55.5583233,12.9190044
4470000,4495000,-25000,6,153,NA,670,1975,34855,20 november 2024,Husie,55.5842664,13.0820291070982
7250000,7495000,-245000,5,140,66,1097,1997,40208,18 november 2024,Klagshamn,56.6187273,12.9382892
16400000,15900000,500000,8,254,84,1005,1980,81580,18 november 2024,Fridhem,55.5984827,12.9672867850016
4050000,4395000,-345000,5,90,68,852,1930,32819,15 november 2024,Valdemarsro,55.6091479,13.0749712829936
6495000,6495000,0,6,146,20,400,2005,48763,15 november 2024,Klagshamn,58.4221463,15.5797287932971
5570000,5695000,-125000,7,208,14,599,1969,39435,15 november 2024,Husie,57.7060139765117,14.1663304226216
5050000,4995000,55000,5,103,103,583,1963,48485,14 november 2024,Videdal,55.59346935,13.0652668867941
5500000,5795000,-295000,4,138,12,525,1972,44000,14 november 2024,Kulladal,55.5692143,12.9925858
10000000,10500000,-500000,6,145,70,895,1921,51310,14 november 2024,Limhamn,55.5843662,12.9481931052292
10000000,10500000,-500000,6,165,73,1050,1921,65565,12 november 2024,Mellanheden,55.5870751,12.9681859798813
6200000,6750000,-550000,5,136,10,554,2006,27150,12 november 2024,Bunkeflostrand,55.5499082,12.9269026
7250000,6995000,255000,5,125,64,722,1923,49514,12 november 2024,Rostorp,57.7305804,11.9168345
4900000,5350000,-450000,5,112,69,620,1959,35146,8 november 2024,Eriksfält,55.5749568,13.0083299529854
4650000,4795000,-145000,NA,124,10,513,2007,54620,8 november 2024,Kristineberg,55.5408856,13.0781586700276
9950000,9950000,0,8,237,30,799,2015,52412,7 november 2024,Bunkeflostrand,55.5404294,12.9246954
6600000,6795000,-195000,7,193,41,750,1909,38884,7 november 2024,Klagshamn,55.5301333,12.9354085439948
5145000,5145000,0,6,168,80,1419,1947,45631,6 november 2024,Lockarp,55.5438641,12.9929653
9100000,9495000,-395000,6,150,71,825,1955,57540,6 november 2024,Limhamn,59.333954,18.0961669
5900000,5995000,-95000,6,110,51,585,1926,40266,5 november 2024,Kulladal,55.57477415,13.003804490482
5510000,5795000,-285000,4,106,NA,798,1921,53241,5 november 2024,Kulladal,55.57025285,12.99335885
7750000,7495000,255000,5,149,8,990,2009,19442,4 november 2024,Tygelsjö,55.52312595,12.99953045
6350000,6475000,-125000,5,162,32,500,1928,40450,4 november 2024,Sibbarp,58.1460104,11.8312119
3500000,3395000,105000,5,127,21,460,1976,48924,4 november 2024,Kyrkby,55.54883675,13.0919120695062
5425000,5695000,-270000,7,210,69,1012,1995,17993,1 november 2024,Käglinge,55.53299455,13.0881664194847
3850000,3995000,-145000,6,120,NA,345,1988,34280,31 oktober 2024,Gullvik,55.5725397,13.0268048229354
10200000,10195000,5000,NA,168,22,624,1911,38780,31 oktober 2024,Limhamn,55.57813165,12.9407731363966
6600000,6850000,-250000,6,145,51,643,1935,26100,31 oktober 2024,Bunkeflostrand,55.5530024,12.916836
5000000,5250000,-250000,6,157,NA,690,1979,35700,31 oktober 2024,Virentofta,61.6920529,17.1786775
12800000,13975000,-1175000,8,180,107,832,1946,78786,31 oktober 2024,Sjösida,55.589434,12.9574332060209
6300000,6995000,-695000,5,85,62,720,1925,40364,31 oktober 2024,Rostorp,55.61453615,13.0476658941848
4000000,4345000,-345000,3,87,11,711,1924,NA,28 oktober 2024,Klagshamn,55.5351654,12.9217336
4350000,4595000,-245000,6,109,109,840,1964,39050,25 oktober 2024,Käglinge,55.533464,13.0774130818485
7550000,6995000,555000,6,165,NA,656,2004,45094,24 oktober 2024,Riseberga,55.59670475,13.0894460840572
4850000,4995000,-145000,3,83,NA,124,1906,49243,24 oktober 2024,Limhamn,60.15264165,15.1896334545432
5550000,5490000,60000,6,175,28,718,1974,52663,23 oktober 2024,Tygelsjö,55.5139123,13.0043263
4150000,3990000,160000,5,134,83,572,1974,39543,23 oktober 2024,Kastanjegården,55.5554036,13.02325205
4500000,4795000,-295000,6,170,85,666,1943,43000,23 oktober 2024,Rosengård,55.57836975,13.0449818162231
5500000,5495000,5000,3,101,106,589,1962,48688,22 oktober 2024,Djupadal,55.57261085,12.9495005304438
12900000,13475000,-575000,6,170,90,807,1963,37980,22 oktober 2024,Sjösida,55.58959915,12.9568316350956
6800000,6975000,-175000,4,135,NA,624,2008,29200,22 oktober 2024,Bunkeflostrand,55.5518738,12.9299077
3150000,3195000,-45000,6,130,NA,503,1972,38887,21 oktober 2024,kyrkby,55.54622825,13.1048658954334
8995000,8995000,0,6,240,23,1557,2005,46000,20 oktober 2024,Skumparp,55.5372407,12.9632802
4450000,4095000,355000,5,122,68,807,1937,38745,19 oktober 2024,Kattarp,55.57881145,13.03954255
6500000,6450000,50000,4,75,12,208,1909,36068,16 oktober 2024,LIMHAMN,55.583826,12.9258858
5450000,5495000,-45000,6,182,NA,662,1975,46794,15 oktober 2024,Videdal,55.5944512,13.0583535734754
3100000,2795000,305000,4,85,56,638,1932,44549,15 oktober 2024,Gullvik,58.3738835,12.3465024
6350000,6750000,-400000,6,177,NA,326,1969,39700,15 oktober 2024,Bunkeflostrand,59.3233246,18.41078875
6500000,6590000,-90000,4,135,40,380,1965,35060,15 oktober 2024,Djupadal,55.57315265,12.9568030374333
3350000,3495000,-145000,3,85,NA,681,1959,34600,14 oktober 2024,Riseberga,55.597853,13.0847958
5250000,4995000,255000,5,160,NA,741,1992,51842,11 oktober 2024,Stenkällan,55.58428315,13.070501005209
7100000,6995000,105000,5,155,5,389,1967,49237,11 oktober 2024,Djupadal,55.57035435,12.9662830672733
7500000,7495000,5000,6,174,24,645,1981,26017,10 oktober 2024,Sibbarp,55.57200075,12.92243975
9000000,9475000,-475000,7,150,20,372,2005,44000,9 oktober 2024,Sibbarp,55.57498745,12.9218485572783
4900000,5295000,-395000,4,109,NA,410,1939,38500,9 oktober 2024,Bunkeflostrand,55.56182925,12.9144536234205
4450000,4395000,55000,4,92,42,608,1960,30949,8 oktober 2024,Videdal,55.5937336,13.0612493
4550000,4795000,-245000,5,136,53,471,2008,27600,4 oktober 2024,Kristineberg,55.54632585,13.0845957664311
6130000,5295000,835000,5,125,NA,450,1923,38300,4 oktober 2024,Johanneslust,55.6008514,13.04818295
5850000,6195000,-345000,6,140,NA,341,1971,41138,3 oktober 2024,Hyllieby,59.3807293,17.9158462
6800000,6995000,-195000,6,181,110,800,1965,51074,3 oktober 2024,Kulladal,55.57166895,12.9908747118546
5010000,4495000,515000,5,110,65,1002,1924,33400,3 oktober 2024,Virentofta,55.5877009,13.0765314
9000000,9500000,-500000,5,145,41,600,1927,63144,2 oktober 2024,Limhamn,55.57423455,12.9396228954355
5020000,4300000,720000,5,101,70,750,1954,48200,2 oktober 2024,Djupadal,55.57659725,12.9567867157968
7075000,7250000,-175000,8,203,45,807,1893,34700,2 oktober 2024,Bunkeflostrand,55.5583233,12.9190044
4400000,3995000,405000,5,124,25,553,1968,42800,30 september 2024,Husie,55.60314245,13.0850806380894
10050000,9875000,175000,6,155,89,850,1958,46859,30 september 2024,Limhamn,55.5805121,12.924457
9800000,7995000,1805000,5,138,58,888,1939,62670,27 september 2024,Bellevue,59.278969,18.0434759
4045000,3995000,50000,5,132,90,587,1965,42200,27 september 2024,Husie,55.5867666,13.0650896019667
4325000,4595000,-270000,3,93,29,610,1960,44507,25 september 2024,Riseberga,55.60313225,13.0826738785261
7600000,7495000,105000,NA,210,80,2777,1912,42700,25 september 2024,Bunkeflostrand,55.737185,13.7812879
10000000,9800000,200000,7,190,5,634,1964,38379,24 september 2024,Limhamn,55.5797531,12.9500196
4650000,4595000,55000,4,100,69,777,1932,22495,24 september 2024,Videdal,55.5926852,13.0693752
18000000,19000000,-1000000,7,290,NA,1426,1963,NA,24 september 2024,Mellanheden,55.5848626,12.963799954777
5000000,4595000,405000,3,149,30,559,1987,38574,23 september 2024,Virentofta,55.94535635,12.8035717
7250000,7200000,50000,7,170,39,1005,1988,25685,23 september 2024,Riseberga,55.5966671,13.0865348
5495000,5495000,0,4,101,84,634,1934,52360,22 september 2024,Kulladal,57.7205493690165,12.0055593049002
8600000,8395000,205000,6,141,88,800,1964,44931,21 september 2024,Djupadal,55.5755672,12.9675052
6100000,5975000,125000,3,106,115,589,1962,49550,20 september 2024,Djupadal,55.5722702,12.9493811947613
4220000,4195000,25000,3,84,47,925,1925,43927,19 september 2024,Videdal,55.58575365,13.0655137
3000000,3195000,-195000,5,117,20,526,1974,30800,19 september 2024,Oxie,55.5424417,13.103271868114
6700000,6995000,-295000,8,200,60,728,1970,44500,19 september 2024,Kroksbäck,55.5777874,12.9784822155852
5600000,5495000,105000,4,110,25,585,1962,37786,19 september 2024,Djupadal,55.5712409,12.94961985
3995000,3995000,0,5,156,10,633,1966,5751,19 september 2024,Villastad,55.5758706,13.0653799648767
7300000,7195000,105000,5,137,NA,648,2011,42200,19 september 2024,Bunkeflostrand,55.5447811,12.9252671
5000000,4800000,200000,4,112,112,792,1972,44940,18 september 2024,Eriksfält,55.57377725,13.0115351911484
5250000,5295000,-45000,7,91,114,830,1963,46000,16 september 2024,Käglinge,55.53377705,13.07833135
4000000,4295000,-295000,4,117,NA,532,1975,53200,15 september 2024,Almvik,55.55381745,13.0210387523958
6540000,6795000,-255000,5,145,NA,329,2006,38600,14 september 2024,Bunkeflostrand,55.5499082,12.9269026
6450000,6595000,-145000,6,154,NA,722,2006,33077,13 september 2024,Bunkeflostrand,55.5499569,12.9245225
6050000,6175000,-125000,4,98,NA,516,2017,34200,13 september 2024,Bunkeflostrand,58.3785576,15.6995099156175
12300000,11975000,325000,5,210,18,462,1969,41169,13 september 2024,Limhamn,59.85196945,17.6260715829715
8000000,8150000,-150000,5,159,15,803,1985,31780,12 september 2024,Bunkeflostrand,55.5595624,12.911038651701
4465000,4595000,-130000,5,152,70,1057,1930,68661,12 september 2024,Gullviksborg,55.5698073,13.02973965
7700000,6995000,705000,9,188,65,630,1934,57300,11 september 2024,Sofielund,59.3186091,18.0702255
6025000,4995000,1030000,5,110,110,764,1924,28450,11 september 2024,Videdal,55.5942387,13.06692825
4100000,4495000,-395000,5,169,NA,788,1967,21415,11 september 2024,Malmö,55.57741705,13.0616839296933
3235000,3195000,40000,4,98,98,741,1969,19629,10 september 2024,Oxie,55.54418625,13.1020821824138
3600000,3495000,105000,6,117,52,313,1973,45075,10 september 2024,Oxie,55.5432238,13.1022510217668
6950000,7495000,-545000,6,207,57,794,1999,48200,10 september 2024,Husie,55.5873876,13.099859585415
5520000,5495000,25000,5,150,NA,594,1980,NA,10 september 2024,Limhamn,55.5686005,12.9188947
2945000,2995000,-50000,4,116,116,713,1942,74591,9 september 2024,Kattarp,55.5794798,13.044478470045
5500000,5795000,-295000,5,123,33,807,1962,49190,8 september 2024,Bunkeflostrand,55.5585886,12.9238536443036
4900000,4995000,-95000,4,127,NA,566,2008,35727,7 september 2024,Kristineberg,55.54203405,13.07577535
4550000,4795000,-245000,5,104,38,633,1935,47800,7 september 2024,Husie,55.5863159,13.0859913
4450000,4695000,-245000,3,77,45,469,1898,47757,6 september 2024,Sibbarp,55.5686005,12.9188947
8295000,8295000,0,5,156,NA,625,2006,42500,6 september 2024,Bunkeflostrand,55.56134275,12.9253265685948
2880000,2795000,85000,4,82,75,872,1934,24609,5 september 2024,Käglinge,55.5595626,13.0602548
4315000,4295000,20000,4,112,56,1007,1930,37900,5 september 2024,Husie,55.5838864,13.0663350586956
5595000,5595000,0,6,158,NA,569,1974,30900,4 september 2024,Kulladal,57.67772285,11.8929514554979
5300000,5495000,-195000,4,124,90,970,1964,46230,4 september 2024,Djupadal,55.57662395,12.9715872085293
8650000,7995000,655000,6,118,148,621,1972,70592,4 september 2024,Hyllieby,55.5674305,12.9607299
2670000,2795000,-125000,5,137,NA,223,1976,57978,3 september 2024,Kyrkby,55.54728975,13.092206034157
5335000,5195000,140000,5,97,47,800,1925,51004,2 september 2024,Valdemarsro,55.61095145,13.07471265
4800000,4995000,-195000,5,142,NA,680,1989,39427,2 september 2024,Käglinge,55.53187635,13.0796228656613
3995000,3995000,0,3,107,60,408,1925,58673,2 september 2024,Skrävlinge,55.51421935,13.23448305
4150000,4895000,-745000,5,119,90,1010,1967,55800,2 september 2024,Husie,55.58459125,13.0782472009361
13900000,15500000,-1600000,7,203,88,1095,1939,46300,2 september 2024,Sjösida,55.5925406,12.9547765182769
4750000,5495000,-745000,6,117,NA,714,1931,28384,31 augusti 2024,Klagshamn,55.5303822,12.9219066
8250000,7990000,260000,6,193,5,664,1972,NA,30 augusti 2024,Bellevue,55.58825405,12.974165121649
5000000,6250000,-1250000,7,182,135,622,1967,43488,30 augusti 2024,Eriksfält,57.6571432,11.9888386
2525000,2695000,-170000,3,73,65,748,1960,51620,30 augusti 2024,Kyrkby,55.55342325,13.1039706081988
6000000,5695000,305000,5,142,19,776,1998,38197,30 augusti 2024,Skumparp,55.5372407,12.9632802
11100000,11295000,-195000,5,152,14,126,2004,47208,30 augusti 2024,Hamnen,59.6020225,16.6080862
4000000,4195000,-195000,4,114,NA,501,1989,30973,29 augusti 2024,Kristineberg,55.54175945,13.0819924178377
4100000,4495000,-395000,4,110,NA,470,1909,32207,29 augusti 2024,Tygelsjö,55.5169132,13.0044825
2600000,2895000,-295000,5,103,NA,519,1965,44060,29 augusti 2024,Kyrkby,55.5463743,13.0998233
7100000,7250000,-150000,4,100,42,525,1928,48284,29 augusti 2024,Limhamn,57.677039,11.98852715
6200000,6350000,-150000,5,142,NA,374,2002,36500,29 augusti 2024,Vintrie,55.5541942,12.9723722
10450000,10995000,-545000,6,168,NA,174,2001,48404,29 augusti 2024,Hamnen,55.61043595,12.9750702961854
6300000,6395000,-95000,6,150,NA,411,2003,33800,28 augusti 2024,Klagshamn,55.52284105,12.9384478258435
